individual,HP,ATK,Mgc,Def,Agi
0,266,72,143,45,131
1,267,73,143,46,132
2,267,73,144,47,132
3,268,74,145,47,133
4,269,74,145,48,133
5,269,75,146,48,134
6,270,76,146,49,135
7,270,76,147,50,135
8,271,77,148,50,136
9,272,77,148,51,136
10,272,78,149,51,137
11,273,79,149,52,138
12,273,79,150,53,138
13,274,80,151,53,139
14,275,80,151,54,139
15,275,81,152,54,140
16,276,82,152,55,141
17,276,82,153,56,141
18,277,83,154,56,142
19,278,84,154,57,142
20,278,84,155,57,143
21,279,85,155,58,144
22,279,85,156,59,144
23,280,86,157,59,145
24,281,87,157,60,145
25,281,87,158,60,146
26,282,88,158,61,147
27,282,88,159,62,147
28,283,89,160,62,148
29,284,90,160,63,148
30,284,90,161,63,149
31,285,91,161,64,150
32,285,91,162,65,150
33,286,92,163,65,151
34,287,93,163,66,151
35,287,93,164,66,152
36,288,94,164,67,153
37,288,94,165,68,153
38,289,95,166,68,154
39,290,96,166,69,154
40,290,96,167,69,155
