individual,HP,ATK,Mgc,Def,Agi
0,225,73,114,78,106
1,225,74,115,79,106
2,226,74,115,80,107
3,227,75,116,80,108
4,227,76,116,81,108
5,228,76,117,81,109
6,228,77,118,82,109
7,229,77,118,83,110
8,230,78,119,83,111
9,230,79,119,84,111
10,231,79,120,84,112
11,231,80,121,85,112
12,232,80,121,86,113
13,233,81,122,86,114
14,233,82,122,87,114
15,234,82,123,87,115
16,234,83,124,88,115
17,235,83,124,89,116
18,236,84,125,89,117
19,236,85,125,90,117
20,237,85,126,90,118
21,237,86,127,91,118
22,238,86,127,92,119
23,239,87,128,92,120
24,239,88,128,93,120
25,240,88,129,93,121
26,240,89,130,94,121
27,241,89,130,95,122
28,242,90,131,95,123
29,242,91,131,96,123
30,243,91,132,96,124
31,243,92,133,97,124
32,244,92,133,98,125
33,245,93,134,98,126
34,245,94,135,99,126
35,246,94,135,99,127
36,246,95,136,100,127
37,247,95,136,101,128
38,248,96,137,101,129
39,248,97,138,102,129
40,249,97,138,102,130
